Fuel Cell,Current (A),Test Hour,R_ohmic (Ohm),R_ct_anode (Ohm),R_ct_cathode (Ohm),R_ct_total (Ohm),Circle Center Real (Ohm),Circle Center Imag (Ohm),Circle Radius (Ohm)
FC1,20,0,0.004798904056803039,0.00775709594319696,0.009291432439891277,0.017048528383088235,0.013323168248347159,-0.0032758670785445923,0.009132052623782541
FC1,20,48,0.004760623324567077,0.008050376675432923,0.008706198346235112,0.016756575021668035,0.013138910835401094,-0.003256713909215579,0.008988986989682179
FC1,20,185,0.004797521561154238,0.008387478438845762,0.008986205851241236,0.017373684290086996,0.013484363706197738,-0.0033801984762663875,0.009321317942858592
FC1,20,348,0.004814364709774503,0.007633635290225498,0.009835676222864395,0.01746931151308989,0.01354902046631945,-0.003258230949905634,0.00932256832145878
FC1,20,515,0.004796284576464459,0.007605715423535541,0.009846860820068946,0.017452576243604488,0.013522572698266703,-0.003284597548570096,0.009323984418733208
FC1,20,658,0.004750386463459398,0.0077686135365406025,0.010429675373899877,0.01819828891044048,0.013849530918679638,-0.003754169134042613,0.009843181178052322
FC1,20,823,0.004881705000361593,0.007835294999638406,0.009671875011633593,0.017507170011272,0.013635290005997593,-0.003181455023897594,0.009313801936909472
FC1,20,991,0.00484586831360318,0.00885413168639682,0.008793475549051352,0.01764760723544817,0.013669671931327267,-0.0032246156092949154,0.0093945545989083
FC1,45,0,0.004625557409504406,0.004838042590495595,0.006647029884727299,0.011485072475222895,0.010368093647115852,-0.0028217412269615134,0.006398354944219248
FC1,45,48,0.0046112488174523975,0.004615351182547602,0.006716415462053817,0.01133176664460142,0.010277132139753106,-0.002780704292605377,0.0063114618104555854
FC1,45,185,0.004658522564297839,0.005655477435702161,0.006078363480787406,0.011733840916489567,0.010525443022542623,-0.0028226119288891714,0.0065105985719040175
FC1,45,348,0.004681713892385774,0.005107486107614225,0.006595395534240054,0.01170288164185428,0.010533154713312913,-0.0027518244041177444,0.006466211969299371
FC1,45,515,0.004675174509131854,0.0042899254908681465,0.007603673868453304,0.01189359935932145,0.010621974188792578,-0.002817855218106065,0.006580633287170808
FC1,45,658,0.004645644755485332,0.004946455244514667,0.00716101537517733,0.012107470619691998,0.01069938006533133,-0.002954974807602807,0.006736437286521969
FC1,45,823,0.004739207448093152,0.005277792551906848,0.006953710300822881,0.012231502852729729,0.010854958874458016,-0.0028375578617329347,0.006741969306350057
FC1,45,991,0.004673966697955905,0.005001933302044095,0.007138956559022082,0.012140889861066177,0.010744411628488992,-0.0029733585588191127,0.006759523857043316
FC1,70,0,0.004603223440269835,0.004585876559730165,0.006887945501311931,0.011473822061042097,0.010340134470790883,-0.0032412561973947204,0.006589225289005055
FC1,70,48,0.004568680750248785,0.004507619249751215,0.00709330916353402,0.011600928413285236,0.010369144956891403,-0.0032670484579514617,0.006657250982135584
